,date,text
25,2020-04-05 23:55:02,"Trump, as he pushes misinformation about the effectiveness of Hydroxychloroquine in treating coronavirus: ""I want them to try it. And it may work and it may not work ... I don't want to wait a year and a half."""
26,2020-04-05 23:54:50,Tiger Tests Positive for Coronavirus at Bronx Zoo But Is Expected to Recover 
27,2020-04-05 23:53:57,"“The virus started in China, of course, but narratives of how it went from epidemic to global pandemic often leave out a crucial element: the role of Europe.”"
28,2020-04-05 23:53:43,Has Dr. Drew filed for unemployment yet? #SundayThoughts #Covid_19 #coronavirus
29,2020-04-05 23:53:39,"@BeingSalmanKhan Coronavirus: Salman Khan extends financial support to 25,000 daily wage workers from film industry - Movies News"
30,2020-04-05 23:53:00,A total of four tigers and three lions have developed symptoms at the zoo.
31,2020-04-05 23:50:32,Coronavirus: community transmission cases drops to 0 
32,2020-04-05 23:49:50,One participant on @JoeBiden's virtual town hall said both his parents were diagnosed w/COVID but they feel better now after prescribed hydroxychloroquine. Former surgeon general Murphy says that drug is still being analyzed for COVID.
33,2020-04-05 23:48:58,Is Trump practicing medicine without a license? Isn’t that illegal? #lockhimup #Covid_19 #Coronavirus
34,2020-04-05 23:48:40,Governor Seyi Makinde Tests Negative For COVID-19 https://www.channelstv.com/2020/04/06/governor-seyi-makinde-tests-negative-for-covid-19/
35,2020-04-05 23:48:00,Look what Corona done made me do 
36,2020-04-05 23:45:46,Also... icons & animated fullbodies are now official commission options ;)
37,2020-04-05 23:45:17,Love in the Time of Corona... Source: unknown 
38,2020-04-05 23:43:23,"Trump wants all 50 states to independently orchestrate the National response to a Pandemic. And yet he holds back ventilators and PPE saying, ""We don't think they need it"". Trump is doing Putin's bidding. He's trying to deconstruct our Democracy. #COVID19 #Coronavirus"
39,2020-04-05 23:43:08,"Sooo... New York apparently doesnt have enough coronavirus tests for humans, but they were somehow able to test tigers at the Bronx Zoo... got it."
40,2020-04-05 23:57:46,#TrumpLiesAmericansDie Just over a month ago Trump called the Coronavirus a hoax. Trump said we have 14 cases and it is going away! PEOPLE ARE DYING by the thousands and our economy is in ruins! This is criminal! STOP giving Trump access to the media! Don’t give him air time! 
41,2020-04-05 23:57:43,"Obviously. We have 2 Covid positive pts in our 160 bed hospital. 45 other pts. Stopping surgeries decreases census and creates financial deficits. We have 4 hospitalized Covid pts in our county of over 238,000 on the coast of California."
42,2020-04-05 23:57:35,Temporarily waived certain regulations to expand the health care workforce to assist with Texas' COVID-19 response. More details: http://bit.ly/2UN5Vwa
43,2020-04-05 23:57:33,MSM: someone PLEASE ask him if the people with auto-immune diseases who will die without Plaquenil matter less than those with COVID who have a slim chance of being helped by it?
44,2020-04-05 23:55:39,"Duran Duran’s John Taylor recovers from coronavirus: ""We can and will beat this thing"" https://bit.ly/2XnzyWD"
45,2020-04-05 23:55:34,"Dr. Anthony Fauci, White House Coronavirus Task Force: “This is not a major threat to the people in the United States and it is not something that the citizens of the United States right now should be worried about.”"
46,2020-04-05 23:54:34,(CLARIFYING A PREVIOUS TWEET): The novel coronavirus is a zoonotic disease but there is ZERO EVIDENCE that *domestic or zoo/captive animals* can transmit the virus to humans. It is also unknown if big cats are uniquely susceptible to the novel coronavirus.
47,2020-04-05 23:54:20,A Tiger At The Bronx Zoo Tests Positive For Coronavirus https://www.oann.com/a-tiger-at-the-bronx-zoo-tests-positive-for-coronavirus/ #OANN
48,2020-04-05 23:53:30,Love in the Time of Coronavirus 
49,2020-04-05 23:52:43,I REFUSE TO LET CORONA RUIN MY #YHLQMDLG SUMMER
50,2020-04-05 23:49:51,The same WHO director-general who tried to install Robert Mugabe as a WHO goodwill ambassador in 2017 has now bowed to the dictators in Beijing. He has harmed the global response to the pandemic
51,2020-04-05 23:48:46,"I have worked several tours with Chief Ressner in my career, and cannot paint a better picture than what he portrays in this post. This is what life has become the past few weeks in NYC #FDNY #CoronavirusUSA"
52,2020-04-05 23:48:37,"Raise your hand if you don't think covid-19 is serious. Now, use it to slap yourself because you're an idiot."
53,2020-04-05 23:48:19,"catching rays, not corona "
54,2020-04-05 23:48:06,"RIP Liz When the Coronavirus pandemic is finally over, I want a memorial or monument similar to the war memorials for fallen soldiers in London to be dedicated to the NHS heroes who gave their lives fighting to save others in the UK #NHS #coronavirus #covid19 #UK #COVID "
55,2020-04-05 23:47:24,"They can say , heart failure, obesity, pneumonia, high blood pressure or a stubbed toe. You got coronavirus and died, you died from coronavirus!!! Period. If you didnt get it you would probably still be alive. It’s all semantics."
56,2020-04-05 23:45:53,Well this certainly reminded me to WASH MY HANDS! #Covid_19
57,2020-04-05 23:42:16,#GoodNewsOfTheDay → America's farmers and ranchers are keeping our nation's food supply strong and secure. RT to THANK them for their dedication!
58,2020-04-05 23:41:09,"“They were seized in the U.S. Paid for, but seized, so we are trying to see exactly what is going to transpire there,” the Health Minister said, explaining that the ventilators donated to the #Barbados government were barred from exportation. #Covid_19"
59,2020-04-05 23:40:16,I was cute before corona x #NewProfilePic
60,2020-04-05 23:57:28,I said it that Corona is bad and mad oh. 
61,2020-04-05 23:56:21,Trump: we as the American people are doing a great job fighting coronavirus The American people: 
62,2020-04-05 23:56:10,Great insight. Instead of teaching Pinoys the value of savings and emergency fund. Instead of teaching them patience since we obstacles naman talaga kahit noon wala pang covid. These progressives loves to trigger these people to go against. In the end ang talo yung mahihirap.
63,2020-04-05 23:53:24,"Pres Trump tells @JDiamond1 he is not promoting hydroxychloroquine to treat coronavirus when he has touted it. He said: ""I want to save lives...It may not work...It may work, in which case it's gonna save a lot of lives...I don't want to wait a year and a half to find out."""
64,2020-04-05 23:52:38,Going out in public during the Coronavirus pandemic like: 
65,2020-04-05 23:50:35,Am fed up of being locked up in my own house. Covid-19 hurry up and move yuh mc nah 
66,2020-04-05 23:50:22,“What do we really have to lose?” Trump says of taking hydroxychloroquine for COVID. Says he believes there are many people who will die without it. Adds wealthy people will just fly to other countries for the medicine &amp; those who can’t afford it will “go home to die.”
67,2020-04-05 23:48:50,How to cuddle the dog during Corona .... #zachbraff #dogs #dogslife
68,2020-04-05 23:48:29,Nice try Gaslighter-In-Chief You can't get ME to watch one of your bullshit rants disgusted as a Covid presser 
69,2020-04-05 23:46:02,"Because of the Coronavirus lockdown in Italy, a lack of tourism has caused the dolphins to finally return to the canals in Venice #ClimateChange"
70,2020-04-05 23:45:00,A Tiger At The Bronx Zoo Tested Positive For COVID-19 Because The Simulation We Are Living In Is Broken https://www.barstoolsports.com/blog/2242334/a-tiger-at-the-bronx-zoo-tested-positive-for-covid-19-because-the-simulation-we-are-living-in-is-broken
71,2020-04-05 23:42:41,if boris johnson d*es of coronavirus we’re getting ding dong the witch is dead to the top of the charts again right
72,2020-04-05 23:42:09,I was a snoopy fan as a kid.
73,2020-04-05 23:41:22,10. Spain is currently distributing its first batch of 1 million rapid coronavirus tests.
74,2020-04-05 23:41:18,3. The FDA has now approved a clinical trial allowing researchers to test whether plasma from recovering coronavirus patients can be used to treat critically ill patients and to boost the immune systems of health-care providers and first responders.
75,2020-04-05 23:41:17,Here is a thread with some good news in our fight against the coronavirus:
76,2020-04-05 23:40:59,".@CNN calls Hydroxycloroquine, a drug that’s been on the market for 50 years and is said to be effective against Coronavirus by 6200 doctors in 30 countries “unproven.” Interesting how they use Fauci’s talking points, isn’t it? "
77,2020-04-05 23:40:55,If Coronavirus was a person : 
78,2020-04-05 23:40:50,My dog jess prefers San Miguel.. ... Not Corona.. 
79,2020-04-05 23:40:00,A Chinese company in Sydney has sent an explosive email to staff telling them to stockpile medical supplies amid the coronavirus pandemic. 
80,2020-04-05 23:55:37,Where’s covid-19 I just want to talk 
81,2020-04-05 23:55:14,Are you kidding me a tiger contracted covid-19 lmao that's not right corona what are you doing stay away from the animals we're right here.
82,2020-04-05 23:51:06,I find it disturbing that the MSM and the Left wants the Covid-19 treatment to fail.
83,2020-04-05 23:51:04,Self Quarantining with Fajitas Habanero and Michelob Ultra Organic the best medicine to survive during the Coronavirus #MichelobUltra #Coronavirus 
84,2020-04-05 23:50:21,How did a tiger get a COVID test and people can’t
85,2020-04-05 23:50:03,FDA authorizes 1st corona virus antibody test https://www.washingtontimes.com/news/2020/apr/3/fda-gives-emergency-authorization-first-coronaviru/
86,2020-04-05 23:44:13,The kids who stood across the street and smoked cigarettes in hs are immune to COVID-19
87,2020-04-05 23:44:12,The indomitable Susan Glasser with the coronavirus column of the week. (~7 min.) #COVID19 @NewYorker @sbg1
88,2020-04-05 23:42:21,The only way mahama can reach 30% of next election is to find the corona virus vaccine @Kaypoisson1 @gyaigyimii 
89,2020-04-05 23:41:17,"1. Globally, more than 260,000 people have now recovered from the coronavirus."
90,2020-04-05 23:40:06,Not sure why anyone holds Bill Gates as an expert here.
91,2020-04-05 23:39:13,Per the posted pic yesterday Vapors and any Vitamin E acetate flavor oil is poison lungs are compromised in ways doctors have never seen Corona V is exploiting these lungs RIGHT NOW Thanks to the FDA and GOV Allowing Birthday cake flavor for your children 
92,2020-04-05 23:39:05,2020 Planet WorldTour First tracklist: Intro: Incendie en Australie - Album teaser WWIII - 1-Earthquake - 2-Corona (Chinese Version) - 3-Corona ( International Version feat Hantavirus) - 4-Tchernobyl To be continued #Tchernobyl
93,2020-04-05 23:39:02,fuck covid pic.twitter.com/M9V87s4XrJ
94,2020-04-05 23:38:49,Day 23 of corona break: I PAINTED A BOX Vibes: Nice 
95,2020-04-05 23:38:38,He can't catch it because it needs a human host. And the tigers probably have regular feline corona virus...test method is the same and big cats in captivity have a 50% infection rate with it according to a 2002 paper on it.
96,2020-04-05 23:38:36,Covid-19: a play in two acts 
97,2020-04-05 23:38:27,"My vote goes to Dr. Vladimir Zelenko. 699 covid-19 patients, treated as outpatients w/ hydroxychloroquine+Zithromax+Zinc. All recovered in 3-5 days. 0 intubations, 0 deaths, 3 hospitalizations (pneumonia; recovering)."
98,2020-04-05 23:37:46,"BREAKING: Due to COVID-19 complications, Aaron Carter is currently in critical condition. It is reported that symptoms began on Friday morning, and by Sunday morning he was rushed to hospital. Symptoms included being a huge bitch. pic.twitter.com/IH6RwKUXMV"
99,2020-04-05 23:38:41,Enemo said that although sex workers offer “essential services” they will remain indoors because their services involve “substantial bodily contact”. . She said the association had been able to sensitise its members to the dangers of COVID-19. pic.twitter.com/6c05axSksB
100,2020-04-05 23:38:39,"#7: Leading public health official who dealt with SARS noted the problems with the ""this is the next plague"" predictions."
101,2020-04-05 23:37:42,tyler joseph explaining to his daughter how he saved the world from coronavirus 
102,2020-04-05 23:37:37,"Trump is attacking the Governor of Illinois, my governor, @JBPritzker. As an Illinoisans and a Chicagoan, I have seen JB Pritzker go above and beyond in assisting us during the #coronavirus crisis. He is doing a great job. Thank you Governor."
103,2020-04-05 23:37:08,Everyone with the Coronavirus 
104,2020-04-05 23:37:05,"Fauci says it's ""false"" to say US has coronavirus under control: “We are struggling"" http://hill.cm/SRuaWDS"
105,2020-04-05 23:37:03,Just asking. Is anyone sanitizing those ventilators coming in from China? #coronavirus #Covid_19
106,2020-04-05 23:36:48,My county did a thing where everyone was supposed to come out front of their house at 7pm and cheer for doctors/nurses etc. A few family and friends came to throw a wholesome little surprise of respect for my mother who has been working the frontline against the corona virus 
107,2020-04-05 23:36:33,"Native American communities in rural areas are especially vulnerable to the spread of coronavirus, and yet their needs are still not being prioritized. We need significant investments in tribal and native communities now more than ever. "
108,2020-04-05 23:35:54,Before and After of our quarantine makeover
109,2020-04-05 23:35:32,then I told mr. corona to post up 
110,2020-04-05 23:35:22,Blackberry peach cobbler.
111,2020-04-05 23:35:10,"Trump is a draft dodging, woman raping, daughter fucking, children kidnapping, citizen murdering, election stealing, Ukraine extorting, Nazi worshipping, taxpayer money stealing halfwit, and the best hashtag you could come up with is #TrumpIsALoser? I'm thoroughly disappointed."
112,2020-04-05 23:35:04,Coronavirus Forces Landlord To Cut Back On Taking Care Of Building From 1 To 0 Hours A Week https://bit.ly/2V5g8To
113,2020-04-05 23:35:00," The 'solidarity' basket ascends and descends on a Naples, Italy, street, Friday, April 3. It transports food from street to balcony and back to provide aid for the needy in the time of the coronavirus. Italy has reported 128,948 COVID-19 cases and 15,887 deaths. (AFP) "
114,2020-04-05 23:34:52,"The President’s need to be on camera, forces his coronavirus team to scramble to prepare for a briefing in which they have no news, draining HOURS from their 24 hour a day struggle to contain this.. Trumps need for attention is costing precious time"
115,2020-04-05 23:34:26,"Rear Adm. John Polowczy said today at briefing that the task force is making sure hydroxychloroquine is readily available. So as Pres Trump continues to tout the drug that hasn't been proven to prevent or treat coronavirus, federal resources are being used to make it available."
116,2020-04-05 23:33:38,no one is safe #covid19
117,2020-04-05 23:32:27,Carole Fuckin Baskin. https://nypost.com/2020/04/05/a-bronx-zoo-tiger-now-has-coronavirus/?utm_campaign=iphone_nyp&amp;utm_source=facebook_app
118,2020-04-05 23:33:31,Today’s #StayHomeForNevada lesson with the kiddos is in home economics. Chocolate mousse made from scratch. COVID-19 is about to be my COVID 15. 
119,2020-04-05 23:30:17,"Here @whpresscorps Ask Trump about THIS!! ""Giuliani, in early February, bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine. How many shares did Sean Hannity &amp; the Trump family buy?"" .@MSNBC .@CNN #coronavirus @JoeNBC @chrislhayes @morningmika"
120,2020-04-05 23:29:00,"During our Family Town Hall on COVID-19, I was asked what we can do to prevent this from happening again. Here’s where I'd start: "
121,2020-04-05 23:28:52,"Deaths from #coronavirus are not our generation’s Pearl Harbor. That was a sneak attack by a foreign enemy. COVID-19 deaths in the USA are mostly self-inflicted by our government’s incompetence, which is to say Trump’s incompetence."
122,2020-04-05 23:28:28,"President @realDonaldTrump asks for all Americans to pray for the warriors fighting the battle against the #Coronavirus. “We will endure, will will overcome.” "
123,2020-04-05 23:28:22,Did the Deep State intentionally cause the Covid-19 pandemic? Don’t worry. The FBI has been on the case and will make sure we will never know... 
124,2020-04-05 23:26:54,VGMA: Char this year no SM no Bhim CORONA: pic.twitter.com/ro0CeKHt0K
125,2020-04-05 23:26:52,BALBRIGGAN WOMEN'S DEVELOPMENT GROUP IS CAMPAIGNING FOR THE USE OF MASK TO MINIMISE THE SPREAD OF COVID-19 IN OUR COMMUNITY. #coronavirus #COVID19
126,2020-04-05 23:26:26,Our Challenge: “Massive Enforcement from MOSQUES to MASKS” ~Police Coronology #Corona #Police
127,2020-04-05 23:26:04,"Ok, China was suddenly thrust into a lethal pandemic, China has 1.3 BILLION people. USA knew this was happening months ago, America has 328 Million people. 3/30 USA/America just doubled the number of COVID-19 cases China has, why? -trump &amp; team Failure! #TrumpVirus"
128,2020-04-05 23:25:38,Thank you to CBS for choosing to broadcast 60 Minutes instead of Trump’s nightly Corona virus press conference. I wish more networks would be as bold as you. #60Minutes
129,2020-04-05 23:25:11,The Career Highlights of Dr. Fauci in 2020: Jan: The coronavirus is no big deal! Feb: You don't need a mask! March: Our virus testing system failed! Shut down the entire country! April: There's no strong evidence hydroxychloroquine works! It's not a good record.
130,2020-04-05 23:24:55,"By the time this corona shit is over, I’m boutta end up looking like this again Please god I never wanna go back to this pic.twitter.com/NaQm8Dt7MJ"
131,2020-04-05 23:24:50,Trying to go through this kinda transformation but ya know..... coronavirus 
132,2020-04-05 23:23:53,The optics of Trump standing next to graphs of exploding coronavirus cases in the US seem not great for him 
133,2020-04-05 23:23:47,Asking for your prayers as it’s been a difficult few days since giving birth. Rushed to the hospital from breathing issues which was a plueral effusion brought on by heart failure. Possible exposure to covid-19 at hospital so now I am self quarantined from my baby girl/hubby 
134,2020-04-05 23:23:34,SO ANGRY about this dumbass 5G + Covid conspiracy theory. You‘re perfectly within your rights to be scientifically illiterate &amp; gullible as a ham. But STOP PASSING SHIT AROUND. YOU DON’T HAVE SPECIAL INSIGHT. YOU’RE NOT A MAVERICK. YOU‘RE JUST ARROGANT &amp; DIDN’T LISTEN IN SCHOOL.
135,2020-04-05 23:23:27,So a tiger got tested for coronavirus but we can’t do random population sample antibody tests on PEOPLE?! Got it.
136,2020-04-05 23:23:14,"In which Peter Navarro, NOT a medical doctor, gets into an argument on the evidence with Fauci, who believes “there was only anecdotal evidence that hydroxychloroquine works against the coronavirus.” "
137,2020-04-05 23:23:07,"Context as Pres Trump touts hydroxychloroquine, which he believes could be a ""game-changer"" against the coronavirus: The WH coronavirus task force had its biggest fight yet on Saturday, pitting Peter Navarro against Anthony Fauci, per @jonathanvswan. https://www.axios.com/coronavirus-hydroxychloroquine-white-house-01306286-0bbc-4042-9bfe-890413c6220d.html"
138,2020-04-05 23:27:39,"Trump is again pushing an unproven coronavirus drug saying “What do you have to lose”... Umm, yeah... I seem to recall him saying that to black voters in 2016 and, given the way things have turned out, probably not the best idea to take that bait, folks... #TrumpPressBriefing"
139,2020-04-05 23:26:06,We ain’t f*ckin with the Corona in the Mile High 
140,2020-04-05 23:22:52,Canadians across the country expressed hurt and disappointment that their neighbor and longstanding ally is blocking shipments of the masks from the United States to ensure they are available in the U.S. during the coronavirus pandemic. 
141,2020-04-05 23:22:07,fuck corona pic.twitter.com/32W0juXont
142,2020-04-05 23:21:31,The Most Sinister Democrat Coup Hoax So Far? Is What We’re Being Told about the Coronavirus Pandemic Wrong? *We're Getting Played *Ruling America via Phony Globalist Bill Gates Funded Models via @derekahunter @townhallcom
143,2020-04-05 23:20:06,CONFIRMED: Kyle tests positive for COVID-19 
144,2020-04-05 23:20:04,"Nitrogen measurement in The Netherlands before and during the Corona outbreak .. The strange thing is that the nitrogen emissions have almost disappeared while all cows are still there. And agriculture is the biggest polluter, according to many! "
145,2020-04-05 23:19:47,Trump says “what do you have to lose?” in regards to taking a drug he recommends that Dr. Fauci says has no evidence to suggest it helps fight the coronavirus. I think maybe their lives. That’s a pretty important thing people have to lose.
146,2020-04-05 23:19:39,"We should count #Coronavirus deaths the same way we’ve counted H1N1 deaths + flu deaths The count strategy should be consistent - NOT apples + oranges, + certainly not as some sort of political weapon Someone who died of a heart attack shouldn’t be part of the Coronavirus count"
147,2020-04-05 23:19:32,"Wrote a post on the Chinese tech industry's response to Covid-19: telemedicine, health QR codes, and more. What should we be doing in Silicon Valley? "
148,2020-04-05 23:16:37,Queen Elizabeth urged strength and discipline amid the COVID-19 pandemic in a rare televised message to the Commonwealth. #QueensSpeech Read more: https://www.cbc.ca/1.5522615
149,2020-04-05 23:16:19,Another session done in the corona gym. 
150,2020-04-05 23:16:19,"Again, can't be underscored enough. Hydroxychloroquine is being tested to see if it is effective. No drug has been approved by the FDA to treat coronavirus. "
151,2020-04-05 23:16:06,"Trump now recommending that health care workers take Hydroxychloroquine as coronavirus prophylaxis, but adds: “What do I know, I’m not a doctor”"
152,2020-04-05 23:15:01,"Trump continues to tout hydroxychloroquine, saying once again, ""what do you have to lose?"". To be clear: Dr. Fauci has said that there is only anecdotal evidence that hydroxychloroquine works against the coronavirus."
153,2020-04-05 23:14:56,"Trump just said that the FDA approved hydroxychloroquine for use against Covid-19. That is medical misinformation: The FDA gave an emergency use authorization, with a fact sheet that explicitly says there is no approved product to treat Covid-19. https://www.fda.gov/media/136538/download"
154,2020-04-05 23:14:50,"Some news reports on the limited emergency use authorization used the phrase ""FDA approves""; the FDA did allow this emergency use. But ""approval"" means a specific thing in the medical world, and the FDA has emphasized that no drug has been approved for the coronavirus."
155,2020-04-05 23:14:39,"Pres Trump is again saying ppl should take hydroxychloroquine, anti-malaria drug that has not been proven to be an effective treatment for coronavirus. He says, ""They say taking it before the fact is good...What do you have to lose?..I'm not a doctor but I have common sense."""
156,2020-04-05 23:13:34,"“What do I know? I’m not a doctor,” Trump acknowledges, amid a lengthy monologue touting the potential of hydroxychloroquine, a drug that is unproven, to cure people from the coronavirus."
157,2020-04-05 23:13:15,"Trump on hydroxychloroquine: ""What do I know, I'm not a doctor...but I have common sense...as you know, they've approved it...they gave it a rapid approval."" It has not been FDA-""approved"" for the coronavirus. The FDA gave it a limited emergency use authorization."
158,2020-04-05 23:18:13,"Andy is not a comedian. His feed is extremely informative re: Covid 19. Definitely a smart follow. That said, this is a great joke... "
159,2020-04-05 23:17:59,I have recovered from coronavirus-Makinde 
160,2020-04-05 23:16:53,This is my daughter Tori who is putting her life on the line to care for Covid-19 patients in ICU at a Chicago hospital. Remember the doctors &amp; nurses in your prayers. #coronavirus #RN
161,2020-04-05 23:15:50,Good morning #Covid_19 #stayathomeandstaysafe
162,2020-04-05 23:12:38,I’m open to the argument that #Coronavirus deaths are over-counted. But find me a doctor on the front line who says this looks like the same risk as normal flu and normal pneumonia and normal mortality. I don’t think you can.
163,2020-04-05 23:11:04,fever dream high in the quiet of the night ☯︎︎
164,2020-04-05 23:10:21,Thank you @60Minutes for running your show tonight &amp; not the silly WH press briefing. Especially this first segment profiling ordinary Americans who are out of work and money because of COVID-19.
165,2020-04-05 23:10:14,"The coronavirus task force had its biggest fight yet on Saturday, pitting Peter Navarro against Dr. Fauci. Fauci pushed back against Navarro's claims that hydroxychloroquine works against the coronavirus—saying there was only anecdotal evidence. "
166,2020-04-05 23:09:53,"A-Zone inaugurated a 9-man Committee as "" MSSN A-Zone COVID-19 Response Team"" to handle publicity on corona virus pandemic. "
167,2020-04-05 23:09:29,#UPDATE The Christchurch man who filmed himself deliberately coughing on supermarket shoppers has appeared in court — and he's been refused bail.
168,2020-04-05 23:09:19,corona crafts 
169,2020-04-05 23:09:06,"AND here's my @natgeo story, after chatting with the Bronx Zoo's chief vet:"
170,2020-04-05 23:08:22,#coronavirus #mask creativity
171,2020-04-05 23:08:19,"Nearly 10,000 Americans have died of Covid-19 in one month :: pause, let that truly sink in :: and Trump is at this press conference bragging, and whining and attacking. Nearly 10,000!!!!"
172,2020-04-05 23:07:13,#Thread: Experts challenging government officials panicdemic model. #1: Leading epidemiology expert from Stanford University published two papers challenging models. https://www.statnews.com/2020/03/17/a-fiasco-in-the-making-as-the-coronavirus-pandemic-takes-hold-we-are-making-decisions-without-reliable-data/ https://onlinelibrary.wiley.com/doi/pdf/10.1111/eci.13222
173,2020-04-05 23:07:04,Why do I hear Cardi B say “Coronavirus” every time I read it 
174,2020-04-05 23:05:59,Democrat Dementia Sufferer #QuidPro Sleepy @JoeBiden Attempts to Slam Trump for His Coronavirus Response and It Backfires via @eb454 @townhallcom
175,2020-04-05 23:05:30,Caraga is no longer COVID-FREE. 
176,2020-04-05 23:04:59,I am 99% sure this is how COVID got started... 
177,2020-04-05 23:04:46,When this is all over there will be members of the Trump Administration and other Republicans who will go to prison for their rampant fraud related to the coronavirus. Have a nice Sunday.
178,2020-04-05 23:04:19,Updated MOH Dashboard. 4 Recovered Cases. #Covid_19
179,2020-04-05 23:04:13,We must STOP THIS GLOOM AND DOOM promoting Fear! CBS featured a video that had viewers believing it was footage from a New York hospital room packed with patients suffering from complications related to the coronavirus when infact the video was FROM ITALY 
180,2020-04-05 23:04:01,Coronavirus: Pastor who decried 'hysteria' dies after attending Mardi Gras 
181,2020-04-05 23:02:54,F*ck you Corona 
182,2020-04-05 23:02:08,Mahama Right Now. #nanaaddo #corona #ghana
183,2020-04-05 23:00:49,"Introducing the Coronaboo, with 2 Corona Beers, 2 roles of TP, cookies and a deck of cards. Will you be a lucky recipient? #itscoronatime"
184,2020-04-05 23:00:41,"SNP Socialists statement on Covid-19 As socialists in the mass party for Scottish independence, we call on all working-class people and socialists to acknowledge, oppose and resist the UK government’s dangerously inadequate response to the Covid-19 coronavirus outbreak."
185,2020-04-05 23:00:33,".* Feb 29: first US death from the coronavirus * March 5: 11 dead * April 5: 9,572 dead Trump had all this time to warn the country, issue a national lockdown and make testing available. Instead he lied, hid and blamed."
186,2020-04-05 23:00:00,More than 12% of Pennsylvania’s labor force filed for unemployment in March. Trump’s chaotic coronavirus response is costing us our jobs. 
187,2020-04-05 23:00:00,"NYC ER Dr. Cameron Kyle-Sidell isn’t suggesting that ventilators not be used. He is suggesting; that they be used in a different way; providing oxygen, not pressure. He says that COVID-19 more closely resembles symptoms of high altitude sickness; not pneumonia. @cameronks @sciam"
188,2020-04-05 22:59:44,There is no way in HELL that China had only 3300 deaths due to coronavirus! NO FREAKIN WAY!!!! This crap originated THERE!!! Stupid communist party! #Covid_19 #ChinaLiedPeopleDied
189,2020-04-05 22:59:30,Wow. Irish Prime Minister Leo Varadkar has re-registered as a doctor with the country's health service and will work one shift a week to help with the #coronavirus outbreak. 
